num	period	title	date	body
1	pandemic	우울증약 줄인 후	2020.02.02	정신건강의학과에서 우울증 진단받고 1년동안 우울증 약 복용했고 현재 호전되어 약을 줄이고 있습니다 최대한 안먹으려고 노력중인데 2주째 어지럽고 속이 울렁거리며 덥다가 추운 증상이 반복되고있는데 괜찮은걸까요?
2	pandemic	우울증이 불면증하고도 관련이 있는건가요..? (또는 해결방안 )	2020.02.03	최근에 정신병원에서 우울증 진단을 받고나서 지속적으로 상담을 받고있는데 이 와중에 항상 밤이되면 잠을 자고싶어도 잠이 안오고 그러다보니 항상 모든일에 관심이 없어지고 무기력해지고 몸도 마음도 점점 나빠지는 것 같더라구요 평소처럼 돌아가고 싶어도 그게 맘처럼 잘 되질 않습니다 그리고 예전에는 밤에 늦어도 12시에는 잠들고 그랬었는데 요즘에는 아예 잠이 통 오질 않아서 조금 불편해지더라구요 그러다보니 문득 생각이드는게 제가 가지고있는 우울증이 불면증과도 관련이 있는건지 궁금해지더군요 .. 혹여나 (우울증과 불면증) 관련성이 크다면 이런 점들을 고칠 수 있는 방법은 없는걸까요..?
3	pandemic	정신병적 우울증 복용약 질문	2020.02.03	처음 2주간 환청이 들려 조현병으로 진단받았으나 다른 정신과 전문의와 더 자세한 상담후 정신병적 우울증을 진단 받았습니다 해서 매일 resperidone 0.5mg 와 escitalopram 10mg 을 복용중입니다 복용후 환청 망상 증상등이 많이 좋아져 정상적인 일상생활이 가능하긴한데 간혹 혼자 생각중에 제가 생각한걸 반복해서 소리치는 증상이 나타납니다 (예를들면 가나다를 생각하면 가나다!로 속에서 소리치며 반복) 이 증상에대해 추가로 복용해야할 약이 있을까요 아니면 그냥 지금 복용하는 약을 꾸준히 복용하는것이 좋을까요?
4	pandemic	공황장애 인가요??	2020.02.04	"제가 우울증이 있다고는 진단받아서 알고 있었는데,몇년전부터 지금까지 학원을 다닐때마다 엄청 긴장하고 무섭고 아무것도 아닌데 상처받고 서있기가 힘들고 머리가 아프고 몸이 아프구요,이건 최근에 생긴건데 지하철만 타면 식은땀 나면서 속이 울렁거리고 머리가 아파서 토하구 서있기가 힘들어요,공황장애 인가요??"
5	pandemic	실비보험가입전에 우울증진단을 병원에서 받앗습니다	2020.02.04	"보험을 전반적으로 갈아타려고 전부 해지하고,무보험 상태에서 우울증이 좀 걸려서 정신의학과에 가서,우울증 진단과 함께 1주일치 약처방(알프람정0.25밀리그램 ,레시프람정) 을 받아 복용후,보험 가입을 하려고 설계사분께 말씀드렸는데,일반용에선 힘들수잇고 병력자용 보험으로 가입할수 잇을거같다고 답변받았는데,1. 병원가서 진료기록을 자부담으로 하여 기록을 바꿀수있을까요?,2. 단순히 경증우울증으로 방문하였는데 병력자용으로밖에 가입이 안되는건가요?,마음이 너무 착잡합니다..."
6	pandemic	"우울증, 처음에는 증상이 좋아지는 듯 했으나 시간이 지날수록 무기력함과 감정의 변화가 없습니다. 한방으로 병행치료를 해볼까 합니다."	2020.02.04	"25살 여대생입니다.,,우울증으로 2년간 약을 복용했습니다.,,처음에는 증상이 좋아지는 듯 했으나 시간이 지날수록 무기력함과 감정의 변화가 없습니다.,,한방으로 병행치료를 해볼까 합니다.,,병행치료가 가능할 까요?,,(부산 20대중반/여 우울증)"
7	pandemic	"우울증약을 처방받고 실비,종신보험 가입"	2020.02.04	"올해 1월말경에 정신의학과에서 우울증관련으로 상담을 받고,항우울제 1주일치를 처방받았습니다,각종 보험들을 해지하고 옴기려는 중이었는데 병원을 가면 안되는것을 모르고 정신과를 다녀왔는데요,투약이 끝난 3개월 이후에 고지의무가 끝나 가입이 가능하다고 하는데,1. 현시점 투약 및 진단 고지후 가입 심사도중 우울증관련 내용이 조회가 되어 가입이 거절될까요?,2. 3개월후 고지 의무 종료후에 가입 심사도중 우울증관련으로 가입이 거절될까요?,,33살인데 평생 병원 근처 냄새도 못맏고 살다가 우울증 약한번먹엇다고 유병자보험을 들어야하면 너무 억울합니다"
8	pandemic	너무 힘들어요	2020.02.07	"정신과에서 우울증에 불안장애 진단 받았는데 그것때문에 부모님이 몰라줘서 미안하다고 우는모습을 보니까 진짜 미쳐버릴것같아요,왜 나때문에 주변사람이 힘들어야하는지도 모르겠고 어떻게 해야할지도 모르겠어요... 그냥 제 자신이 너무 짜증나요"
9	pandemic	우울증으로 정신과를 가야 할까요?	2020.02.07	"4개월정도 우울증 증세가 지속되어 정신과에서 처방을 받아야 할지 고민하고 있었는데 약 3일 전부터 갑자기 증상이 거의 없어졌다고 느낍니다. 이런 경우에는 정신과에 가서 약을 먹어야 할까요, 아니면 가지 않아도 될까요?"
10	pandemic	무기력증 원인 증상 극복 방법 .....	2020.02.11	"무기력증 때문에 약 먹는중입니다,우울증 진단받고 작년부터 먹는데,무기력증 증상이 최근에 더 심해졌어요 ,무기력증 극복 방법 좀 알려주세요 ,우울증 증상 때문에 먹기시작한 약이 잠도 안오게 하고 ,무기력증이란 증상이 생기게 만들었어요 극복 방법 없나요 ?,많이 힘듭니다 하루하루 ....,무기력증 원인 증상 극복 방법"
11	pandemic	항우울제와 우울증영양제 동시복용	2020.02.11	"항우울제를 복용하고 있는데요,약을 몇년간 먹고 바꿨는데도 계속 쳐지고 우울하고 해서요,너무 오래 먹어서 끊고 싶기도 하고.. 지금 먹으면서 부가로 도움 받고 싶기도 해서 영양제를 찾았는데..,,세인트존스랑 콜린&이노시톨인 제품이 우울증이랑 불안장애 수면장애에 도움을 준다고 들었고 후기도 그런 후기가 많아서,먹어보려고 주문했는데요,먹으면 졸린다는 말이 있어서 일단 저녁에 먹어보려구요,,근데 세인트존스랑 콜린 이노시톨 같이 섭취해도 되나요?,동시에 한알씩이요.,,항우울제를 저녁에 자기직전에 먹는데 그러면,영양제랑 30분정도 텀을 두고 먹는게 좋을까요?,같이 먹으면 부작용이 생길까요?,,코로나바이러스 조심하시고 자세한 답변 부탁드립니다,감사합니다"
12	pandemic	유병력자 실비 보험 문의	2020.02.12	"5년 이상 우울증약 복용해옴,최근 진단 경도우울증 활동성및주의력장애,공황장애,,최근 산부인과 2월 4일 초음파검사후,난소 자궁내막증 진단-난소암 검사 위험도 높게 나옴,2차병원(대학병원)가서 정밀검사 해보라함,,겁나서 주변 보험 설계사 한테 물어보니,3개월 뒤에 실비보험 드는게 낫겟다 하는데,전 불안해서 걍 빨리 검사받고 수술하고 싶거든요,,자궁쪽 부담보로 실비 당장 가입하고싶은데,추천바랍니다,그리고 실비 가입 후 몇개월 후에 보장되나요?,가입된다면 최대한 빨리 가입하고싶고,안된다면 걍 수술할거임"
13	pandemic	정신과약 부작용	2020.02.12	"공황장애랑 우울증 조울증 때문에 약먹은지 1년 반이 지났는데 예전에는 안그랬는데 손이 자꾸 떨려요,수전증같이 계속 떨어요 왜이런걸까요"
14	pandemic	"노원 20대후반/여 우울증, 슬프고 우울하고, 어떨 땐 짜증도 나고 화도 나고 감정 조절이 너무 되지 않고 있습니다."	2020.02.13	"20대 후반 여성입니다.,,최근 몇 개월 간 회사에서 집에서 연거푸 스트레스 받을 일이 겹치고 피곤해서인지, 슬프고 우울하고, 어떨 땐 짜증도 나고 화도 나고 감정 조절이 너무 되지 않고 있습니다.,,어느 정도 예상은 했지만 엊그제 신경정신과 상담에서 우울증이란 진단이 나왔습니다.,,막상 그렇게 확인받으니 마음이 더 심란하네요.,,일단 1년 이상 약물치료와 상담치료를 해야 한다고 합니다.,,일단 한방치료 쪽도 알아보고 치료를 결정하고 싶어서 문의드립니다.(노원 20대후반/여 우울증)"
